Year,Location,Total Sentences
2003,East Coast Justice Service Area,5412
2003,Taranaki/Whanganui Justice Service Area,3663
2003,Manawatū/Wairarapa Justice Service Area,3603
2003,Northern Wellington Justice Service Area,3834
2003,Wellington Justice Service Area,2713
2003,Nelson/Marlborough/West Coast Justice Service Area,2912
2003,Canterbury Justice Service Area,6598
2003,Otago Justice Service Area,3198
2003,Southland Justice Service Area,2596
2004,Total Regions,77078
2004,Te Tai Tokerau Justice Service Area,3979
2004,Auckland Justice Service Area,7975
2004,South Auckland Justice Service Area,7417
2004,Waikato Justice Service Area,5595
2004,Bay of Plenty Justice Service Area,5507
2004,Waiariki Justice Service Area,3861
2004,East Coast Justice Service Area,5791
2004,Taranaki/Whanganui Justice Service Area,4172
2004,Manawatū/Wairarapa Justice Service Area,3508
2004,Northern Wellington Justice Service Area,3748
2004,Wellington Justice Service Area,2529
2004,Nelson/Marlborough/West Coast Justice Service Area,3030
2004,Canterbury Justice Service Area,6715
2004,Otago Justice Service Area,3769
2004,Southland Justice Service Area,3104
2005,Total Regions,79307
2005,Te Tai Tokerau Justice Service Area,3985
2005,Auckland Justice Service Area,8232
2005,South Auckland Justice Service Area,8252
2005,Waikato Justice Service Area,5979
2005,Bay of Plenty Justice Service Area,5091
2005,Waiariki Justice Service Area,4101
2005,East Coast Justice Service Area,5583
2005,Taranaki/Whanganui Justice Service Area,4098
2005,Manawatū/Wairarapa Justice Service Area,3848
2005,Northern Wellington Justice Service Area,3839
2005,Wellington Justice Service Area,2632
2005,Nelson/Marlborough/West Coast Justice Service Area,3271
2005,Canterbury Justice Service Area,7172
2005,Otago Justice Service Area,3677
2005,Southland Justice Service Area,2924
2006,Total Regions,78519
2006,Te Tai Tokerau Justice Service Area,3908
2006,Auckland Justice Service Area,7840
2006,South Auckland Justice Service Area,8590
2006,Waikato Justice Service Area,5784
2006,Bay of Plenty Justice Service Area,5008
2006,Waiariki Justice Service Area,4098
2006,East Coast Justice Service Area,5352
2006,Taranaki/Whanganui Justice Service Area,3957
2006,Manawatū/Wairarapa Justice Service Area,4017
2006,Northern Wellington Justice Service Area,3901
2006,Wellington Justice Service Area,2423
2006,Nelson/Marlborough/West Coast Justice Service Area,3270
2006,Canterbury Justice Service Area,7042
2006,Otago Justice Service Area,3761
2006,Southland Justice Service Area,2802
2007,Total Regions,81972
2007,Te Tai Tokerau Justice Service Area,3999
2007,Auckland Justice Service Area,8168
2007,South Auckland Justice Service Area,9087
2007,Waikato Justice Service Area,6051
2007,Bay of Plenty Justice Service Area,5703
2007,Waiariki Justice Service Area,4115
2007,East Coast Justice Service Area,5694
