Year,Region,Median Rent,Geometric Mean Rent,Upper Quartile Rent,Lower Quartile Rent,Log Std Dev Weekly Rent,Total Sentences
1998,ALL,164.7843137254902,161.15686274509804,196.08333333333331,135.35294117647058,0.31348039215686274,74418.0
1998,Auckland Region,164.7843137254902,161.15686274509804,196.08333333333331,135.35294117647058,0.31348039215686274,8156.0
1998,Bay of Plenty Region,164.7843137254902,161.15686274509804,196.08333333333331,135.35294117647058,0.31348039215686274,4190.5
1998,Canterbury Region,164.7843137254902,161.15686274509804,196.08333333333331,135.35294117647058,0.31348039215686274,7324.0
1998,Gisborne Region,164.7843137254902,161.15686274509804,196.08333333333331,135.35294117647058,0.31348039215686274,5004.0
1998,Manawatu-Wanganui Region,164.7843137254902,161.15686274509804,196.08333333333331,135.35294117647058,0.31348039215686274,3477.0
1998,Marlborough Region,164.7843137254902,161.15686274509804,196.08333333333331,135.35294117647058,0.31348039215686274,2878.0
1998,Northland Region,164.7843137254902,161.15686274509804,196.08333333333331,135.35294117647058,0.31348039215686274,3345.0
1998,Otago Region,164.7843137254902,161.15686274509804,196.08333333333331,135.35294117647058,0.31348039215686274,3533.0
1998,Southland Region,164.7843137254902,161.15686274509804,196.08333333333331,135.35294117647058,0.31348039215686274,2505.0
1998,Taranaki Region,164.7843137254902,161.15686274509804,196.08333333333331,135.35294117647058,0.31348039215686274,3538.0
1998,Waikato Region,164.7843137254902,161.15686274509804,196.08333333333331,135.35294117647058,0.31348039215686274,5528.0
1998,Wellington Region,164.7843137254902,161.15686274509804,196.08333333333331,135.35294117647058,0.31348039215686274,3591.5
1999,ALL,163.9313725490196,160.4656862745098,196.15686274509804,133.83823529411765,0.32098039215686275,76788.0
1999,Auckland Region,163.9313725490196,160.4656862745098,196.15686274509804,133.83823529411765,0.32098039215686275,8062.0
1999,Bay of Plenty Region,163.9313725490196,160.4656862745098,196.15686274509804,133.83823529411765,0.32098039215686275,4447.5
1999,Canterbury Region,163.9313725490196,160.4656862745098,196.15686274509804,133.83823529411765,0.32098039215686275,7770.0
1999,Gisborne Region,163.9313725490196,160.4656862745098,196.15686274509804,133.83823529411765,0.32098039215686275,5113.0
1999,Manawatu-Wanganui Region,163.9313725490196,160.4656862745098,196.15686274509804,133.83823529411765,0.32098039215686275,3716.0
1999,Marlborough Region,163.9313725490196,160.4656862745098,196.15686274509804,133.83823529411765,0.32098039215686275,2949.0
1999,Northland Region,163.9313725490196,160.4656862745098,196.15686274509804,133.83823529411765,0.32098039215686275,3520.0
1999,Otago Region,163.9313725490196,160.4656862745098,196.15686274509804,133.83823529411765,0.32098039215686275,3471.0
1999,Southland Region,163.9313725490196,160.4656862745098,196.15686274509804,133.83823529411765,0.32098039215686275,2477.0
1999,Taranaki Region,163.9313725490196,160.4656862745098,196.15686274509804,133.83823529411765,0.32098039215686275,4001.0
1999,Waikato Region,163.9313725490196,160.4656862745098,196.15686274509804,133.83823529411765,0.32098039215686275,5672.0
